年月,降水量(mm),日の平均気温(℃),日の最高気温(℃),日の最低気温(℃),最高気温(℃),最低気温(℃)
1993/3,60.5,8.7,12.5,5.0,18.3,1.5
1993/4,58.0,13.4,17.8,9.1,26.9,4.8
1993/5,65.5,18.1,22.3,14.2,30.7,8.3
1993/6,260.0,21.7,25.0,19.0,31.9,14.3
1993/7,316.5,22.5,25.3,20.0,32.3,16.4
1993/8,412.0,24.8,28.0,22.3,32.9,18.4
1993/9,140.0,22.9,25.8,20.2,32.1,14.9
1993/10,156.0,17.5,20.8,14.4,25.3,8.6
1993/11,167.0,14.1,17.7,10.9,24.0,5.2
1993/12,65.0,8.5,12.3,5.3,21.1,0.7
1994/1,50.0,5.5,9.1,2.1,16.8,-1.3
1994/2,88.5,6.6,10.6,3.0,16.0,-2.3
1994/3,114.5,8.1,11.6,4.8,18.7,2.3
1994/4,49.0,15.8,19.8,11.4,24.4,4.3
1994/5,133.5,19.5,23.4,15.9,29.3,10.8
1994/6,144.5,22.4,26.0,19.1,31.7,14.3
1994/7,93.5,28.3,31.8,0.0,35.6,0.0
1994/8,92.5,28.9,32.9,25.9,39.1,20.4
1994/9,0.0,24.8,28.1,22.0,32.9,18.3
1994/10,57.0,20.2,23.0,17.5,27.9,11.9
1994/11,50.5,13.4,17.1,9.8,23.9,4.5
1994/12,23.0,9.0,12.8,5.2,17.7,1.4
1995/1,36.0,6.3,10.2,2.5,16.1,-1.2
1995/2,27.0,6.5,10.1,2.9,13.9,0.1
1995/3,180.0,8.9,13.0,5.3,19.9,1.0
1995/4,99.5,15.0,19.1,11.5,25.5,4.9
1995/5,204.5,19.1,22.7,16.1,26.7,12.9
1995/6,185.5,20.4,23.5,17.8,28.8,14.9
1995/7,171.0,26.4,29.6,23.7,35.9,19.4
1995/8,31.0,29.4,33.7,26.1,36.4,24.5
1995/9,164.5,23.7,27.4,20.7,35.8,15.1
1995/10,79.0,19.5,23.0,16.5,27.8,12.3
1995/11,42.0,12.7,16.7,8.7,23.9,5.2
1995/12,0.0,7.7,12.1,3.9,16.7,-0.6
1996/1,13.0,6.6,10.4,2.9,19.9,-0.4
1996/2,45.0,5.4,9.4,1.7,20.9,-1.5
1996/3,118.0,9.2,13.1,5.5,23.1,0.7
1996/4,111.0,12.7,17.0,8.5,26.2,3.7
1996/5,128.0,18.1,22.0,14.6,30.5,10.5
1996/6,36.0,22.6,26.4,19.5,31.8,15.7
1996/7,253.5,26.2,30.0,23.1,34.8,17.2
1996/8,31.5,26.0,30.0,23.0,38.7,17.9
1996/9,382.0,22.4,26.3,19.4,34.5,14.8
1996/10,83.5,18.0,21.7,14.5,27.2,9.3
1996/11,84.0,13.2,16.7,10.1,24.2,5.8
1996/12,48.0,9.3,13.6,5.3,18.6,2.4
1997/1,29.0,6.8,11.3,2.7,16.4,-2.1
1997/2,21.5,7.0,11.2,3.1,18.0,-1.4
1997/3,106.0,10.5,14.7,6.8,25.1,3.0
1997/4,105.5,15.2,19.2,11.4,27.2,8.0
1997/5,186.0,19.2,23.2,15.6,27.9,11.3
1997/6,170.5,22.7,26.6,19.3,32.8,13.4
1997/7,185.0,26.6,30.7,23.4,37.7,19.4
1997/8,144.0,27.0,30.7,23.9,34.5,19.4
1997/9,204.0,22.9,26.4,20.1,32.9,15.4
1997/10,19.0,18.7,22.8,14.8,27.1,9.6
1997/11,91.0,14.3,18.1,11.0,24.4,6.9
1997/12,40.5,9.2,12.4,5.8,17.6,2.5
1998/1,122.0,5.3,9.3,1.9,13.6,-0.8
1998/2,110.5,7.0,11.3,3.6,23.1,0.5
1998/3,108.0,10.1,14.4,5.9,24.5,0.7
1998/4,188.0,16.3,20.1,12.9,27.1,2.5
1998/5,140.5,20.5,24.6,16.7,29.3,10.6
1998/6,150.5,21.5,24.6,18.5,33.7,13.8
1998/7,156.5,25.3,29.0,22.6,36.1,17.0
1998/8,143.5,27.2,31.0,24.4,35.5,20.3
1998/9,229.0,24.4,27.7,21.9,32.8,17.7
1998/10,142.5,20.1,23.5,17.1,31.9,11.9
1998/11,7.5,13.9,17.7,10.3,25.0,5.3
1998/12,48.0,9.0,12.6,5.5,18.4,2.4
1999/1,19.5,6.6,10.8,2.5,16.4,-0.9
1999/2,35.5,6.7,11.2,2.5,21.3,-1.4
1999/3,144.5,10.1,13.7,6.3,20.3,2.1
1999/4,205.0,15.0,18.7,11.5,24.0,5.4
1999/5,103.5,19.9,24.0,16.4,31.9,10.9
1999/6,192.5,22.8,26.5,19.8,32.9,15.4
1999/7,342.0,25.9,29.9,23.0,34.2,17.2
1999/8,301.0,28.5,32.3,25.8,34.8,23.1
1999/9,91.0,26.2,29.6,23.3,34.2,18.0
1999/10,87.5,19.5,23.0,16.1,29.2,10.3
1999/11,93.0,14.2,17.8,10.7,23.8,7.0
1999/12,7.0,9.0,12.7,5.1,18.0,1.7
2000/1,66.5,7.6,11.2,4.2,16.9,-0.7
2000/2,4.0,6.0,9.9,2.4,14.5,0.0
2000/3,85.5,9.4,13.5,5.2,19.9,1.5
2000/4,151.5,14.5,18.7,10.7,24.1,6.4
2000/5,109.0,19.8,24.0,16.5,30.0,12.9
2000/6,232.0,22.5,26.1,19.5,30.5,16.4
2000/7,373.5,27.7,31.6,24.5,34.9,19.9
2000/8,162.0,28.3,32.4,25.4,34.5,22.2
2000/9,164.0,25.6,28.9,22.7,37.8,17.8
2000/10,142.5,18.8,21.9,16.2,28.1,11.1
2000/11,106.0,13.3,16.7,10.5,23.1,5.3
2000/12,6.5,8.8,12.6,5.2,20.2,1.7
2001/1,126.5,4.9,8.6,1.7,13.8,-2.4
2001/2,23.0,6.6,10.7,2.8,19.7,0.0
2001/3,107.5,9.8,14.4,5.7,22.8,1.1
2001/4,40.5,15.7,20.4,11.3,26.2,1.0
2001/5,170.5,19.5,23.0,16.4,27.5,8.7
2001/6,144.5,23.1,26.6,20.3,33.7,16.1
2001/7,41.5,28.5,33.0,25.2,38.1,21.9
2001/8,136.5,26.4,30.0,23.6,36.3,19.6
2001/9,204.0,23.2,26.4,20.4,32.6,13.2
2001/10,343.0,18.7,22.5,15.5,28.5,11.3
2001/11,123.5,13.1,16.7,9.5,21.8,6.0
2001/12,30.0,8.4,12.0,4.9,16.7,0.9
2002/1,98.5,7.4,11.5,3.4,18.1,-0.3
2002/2,25.0,7.9,11.9,4.4,17.7,0.3
2002/3,82.0,12.2,16.5,8.1,23.9,3.9
2002/4,58.0,16.1,20.3,12.4,28.0,9.1
2002/5,112.5,18.4,22.3,15.3,27.5,12.4
2002/6,151.5,21.6,25.3,18.6,31.1,15.6
2002/7,124.0,28.0,31.7,25.1,34.8,21.1
2002/8,120.0,28.0,32.1,24.8,35.8,20.7
2002/9,207.0,23.1,26.2,20.4,33.9,15.4
