年月,降水量(mm),日の平均気温(℃),日の最高気温(℃),日の最低気温(℃),最高気温(℃),最低気温(℃)
1995/10,70.5,17.6,21.4,14.0,28.4,9.0
1995/11,230.5,9.6,13.4,5.9,20.2,2.4
1995/12,302.5,4.7,7.6,1.9,11.1,-3.4
1996/1,197.5,2.5,5.3,-0.1,10.8,-3.5
1996/2,111.5,1.9,4.9,-0.7,15.0,-5.9
1996/3,148.5,5.3,8.7,2.1,17.4,-1.6
1996/4,45.5,9.7,14.0,5.8,26.2,0.6
1996/5,130.0,15.1,19.5,11.6,28.5,5.5
1996/6,185.0,20.3,23.8,0.0,29.1,0.0
1996/7,80.0,24.9,28.7,21.9,34.0,17.2
1996/8,84.0,25.9,30.0,22.3,34.8,16.9
1996/9,131.0,21.3,25.1,17.8,30.4,11.9
1996/10,114.0,16.2,20.9,12.5,26.2,6.3
1996/11,219.0,10.4,13.4,7.0,18.2,0.7
1996/12,253.5,5.6,8.7,2.7,14.6,0.3
1997/1,169.5,3.5,6.6,0.9,15.3,-3.8
1997/2,92.0,3.5,7.4,0.2,15.5,-3.9
1997/3,98.0,6.3,10.4,2.5,16.3,-1.6
1997/4,149.5,11.2,15.2,7.4,23.9,2.3
1997/5,188.0,17.0,21.7,13.1,27.0,8.6
1997/6,293.0,20.7,24.5,17.6,30.9,14.2
1997/7,257.5,24.8,28.4,21.8,37.5,17.3
1997/8,129.5,26.0,30.3,22.7,35.2,19.5
1997/9,205.0,21.4,24.5,18.7,33.0,12.2
1997/10,143.5,15.3,19.7,11.1,27.3,6.0
1997/11,161.5,11.6,15.8,7.6,20.5,2.2
1997/12,188.5,6.3,9.5,3.0,14.1,-0.8
1998/1,311.0,2.2,4.8,-0.2,10.6,-3.9
1998/2,89.5,3.7,6.9,0.6,13.1,-3.8
1998/3,93.0,6.7,10.9,3.0,19.7,-1.4
1998/4,131.5,13.6,18.1,10.0,29.4,1.0
1998/5,197.0,18.3,22.8,14.0,32.9,8.3
